s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
428,97 of 2012,431,Extant,Narendra Wheat-2036,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E39 TA42 07 284,02 August 2012,11 March 2018,07-Nov-2007  to 02-Aug-2012
429,98 of 2012,432,Extant,Pratap Makka-5 (EC-3116),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E18 ZM40 07 313,02 August 2012,24 April 2021,15-Nov-2007  to 02-Aug-2012
430,99 of 2012,433,Extant,"Danteshwari (IET No. 15450, R 302-111)",Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,11-Dec-2007,E68 OS87 07 395,02 August 2012,14 November 2016,11-Dec-2007  to 02-Aug-2012
431,100 of 2012,434,Extant,PR-116,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E6 OS6 08 06,02 August 2012,25 March 2016,01-Jan-2008  to 02-Aug-2012
432,101 of 2012,435,Extant,Gujarat Gram-4 (GCP-105),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,31-Jan-2008,E152 CA20 08 174,02 August 2012,12 September 2015,31-Jan-2008  to 02-Aug-2012
433,102 of 2012,436,Extant,J.G.11,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,3-Jun-2008,E265 CA22 08 373,02 August 2012,07 June 2014,03-Jun-2008  to 02-Aug-2012
434,103 of 2012,437,Extant,Malviya Wheat 468 (HUW-468),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jul-2008,E275 TA10 08 385,02 August 2012,07 June 2014,01-Jul-2008  to 02-Aug-2012
435,104 of 2012,438,Extant,JRC-698 (Shrabanti white PBC-6),Jute,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,14-Aug-2008,E313 CCP4 08 431,02 August 2012,25 October 2014,14-Aug-2008  to 02-Aug-2012
436,105 of 2012,439,Extant,Bidhan Pat-3 (D-110),Jute,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,14-Oct-2008,E332 CCP7 08 468,02 August 2012,01 February 2016,14-Oct-2008  to 02-Aug-2012
437,106 of 2012,440,Extant,PKV HMT,Rice,Cereals,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,25-Feb-2009,E36 OS11 09 55,02 August 2012,15 October 2023,25-Feb-2009  to 02-Aug-2012
438,107 of 2012,441,Extant,AKA-7 (AKA-8307),Diploid Cotton,Fibre Crops,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,30-Mar-2009,E39 GA1 09 115,02 August 2012,01 February 2016,30-Mar-2009  to 02-Aug-2012
439,108 of 2012,442,Extant,NAH-2049,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,16-Sep-2009,E25 ZM46 09 370,02 August 2012,10 February 2024,16-Sep-2009  to 02-Aug-2012
440,109 of 2012,443,Extant,AKH-8828,Tetraploid Cotton,Fibre Crops,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,30-Mar-2009,E41 GA10 09 117,02 August 2012,09 January 2023,30-Mar-2009  to 02-Aug-2012
441,110 of 2012,444,Extant,MONALISA (RRPS-27-C-3),Jute,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,2-Dec-2010,E1 JC110 342,16 August 2012,26 August 2024,02-Dec-2010  to 16-Aug-2012
442,111 of 2012,445,Extant,Kailash,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E5 TA10 11 303,16 August 2012,24 August 2020,10-Jun-2011  to 16-Aug-2012
443,112 of 2012,446,Extant,Purna (HI-1544),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E6 TA11 11 304,16 August 2012,07 May 2023,10-Jun-2011  to 16-Aug-2012
444,113 of 2012,447,New,RCH 515 BGII,Tetraploid Cotton,Fibre Crops,Rasi Seeds Private  Limited,Private,2-Apr-2008,N81 GH72 08 303,16 August 2012,01 August 2027,02-Apr-2008  to 16-Aug-2012
445,114 of 2012,448,Extant,WH 711,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E10 TA15 11 308,16 August 2012,03 September 2017,10-Jun-2011  to 16-Aug-2012
446,115 of 2012,449,New,CISA 310,Diploid Cotton,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,18-Nov-2008,N137 GA6 08 496,16 August 2012,01 August 2027,18-Nov-2008  to 16-Aug-2012
447,116 of 2012,450,Extant,KMH-Super 2020,Maize,Cereals,M/S Kaveri Seed Company Limited,Private,28-Jan-2009,E1 ZM3 09 15,16 August 2012,01 August 2027,28-Jan-2009  to 02-Aug-2012
448,117 of 2012,451,Extant,Py-6 (IET-11898),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E101 OS33 08 113,16 August 2012,01 February 2016,10-Jan-2008  to 16-Aug-2012
449,118 of 2012,452,Extant (VCK),KMH-25K55,Maize,Cereals,M/S Kaveri Seed Company Limited,Private,24-Aug-2009,E22 ZM39 09 345,16 August 2012,15 August 2027,24-Aug-2009  to 16-Aug-2012
450,119 of 2012,453,Extant,PKV DH-1 (AKDH-7),Diploid Cotton,Fibre Crops,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,30-Mar-2009,E3 GA3 09 120,03 September 2012,03 February 2019,30-Mar-2009  to 03-Sep-2012
451,120 of 2012,454,New,VBCH-1018 BG (Cash BG),Tetraploid Cotton,Fibre Crops,Vibha Agrotech Limited,Private,23-Sep-2008,N127 GH136 08 456,03 September 2012,02 September 2027,23-Sep-2008  to 03-Sep-2012
452,121 of 2012,455,New,VBCH-1016 BG (Bond BG),Tetraploid Cotton,Fibre Crops,Vibha Agrotech Limited,Private,23-Sep-2008,N126 GH 135 08 455,03 September 2012,02 September 2027,23-Sep-2008  to 03-Sep-2012
453,122 of 2012,456,New,PFC 1,Tetraploid Cotton,Fibre Crops,Ankur Seeds Pvt. Ltd.,Private,3-Apr-2008,N82 GH74 08 306,04 September 2012,03 September 2027,03-Apr-2008  to 04-Sep-2012
454,123 of 2012,457,New,C-96,Tetraploid Cotton,Fibre Crops,Ankur Seeds Pvt. Ltd.,Private,2-Apr-2008,N38 GH15 08 241,04 September 2012,03 September 2027,02-Apr-2008  to 04-Sep-2012
455,124 of 2012,458,New,RCH-530 BGII,Tetraploid Cotton,Fibre Crops,Rasi Seeds Private Limited,Private,2-Apr-2008,N25 GH59 08 290,04 September 2012,03 September 2027,02-Apr-2008  to 04-Sep-2012
456,125 of 2012,459,Extant (VCK),SYN-CO-6661,Maize,Cereals,Syngenta India Limited,Private,5-Jul-2007,E112 AS30 07 123,04 September 2012,03 September 2027,05-Jul-2007  to 04-Sep-2012
457,126 of 2012,460,Extant,Navinya-6 (NACH-6),Diploid Cotton,Fibre Crops,Nirmal Seeds Private Ltd.,Private,30-Dec-2009,E24 GA27 09 688,04 September 2012,24 April 2021,30-Dec-2009  to 04-Sep-2012
458,127 of 2012,461,Extant,Himgiri (HS-375),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Apr-2008,E249 TA3 08 355,04 September 2012,11 March 2018,07-Apr-2008  to 04-Sep-2012
459,128 of 2012,462,Extant,Urja (HD-2864),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E35 TA38 07 280,04 September 2012,01 February 2020,07-Nov-2007  to 04-Sep-2012
460,129 of 2012,463,Extant,PAC 740,Maize,Cereals,Advanta India Limited,Private,15-Jul-2008,E302 ZM25 08 412,04 September 2012,26 August 2024,15-Jul-2008  to 04-Sep-2012
461,130 of 2012,464,Extant,Vipula,Pigeon pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E5 CC9 07 296,19 September 2012,05 February 2022,12-Nov-2007  to 19-Sep-2012
462,131 of 2012,465,Extant,VBN(Rg)3,Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E6 CC10 07 297,19 September 2012,19 September 2021,12-Nov-2007  to 19-Sep-2012
463,132 of 2012,466,Extant,GT-101,Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E10 CC14 07 301,19 September 2012,03 February 2019,12-Nov-2007  to 19-Sep-2012
464,133 of 2012,467,Extant,PR-113,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E8 OS8 08 08,19 September 2012,25 March 2016,01-Jan-2008  to 19-Sep-2012
465,134 of 2012,468,Extant,Appangala,Small cardamom,Spices,Indian Council of Agricultural Research (ICAR),Public,2-Dec-2010,E1 EC1 10 343,19 September 2012,25 October 2014,02-Dec-2010  to 19-Sep-2012
466,135 of 2012,469,Extant (VCK),SYN-CO-5258,Maize,Cereals,Syngenta India Limited,Private,31-Oct-2007,E14 ZM33 07 143,19 September 2012,18 September 2027,31-Oct-2007  to 19-Sep-2012
467,136 of 2012,470,Extant,CSH-21 (MLSH-151) (SPH-1342),Sorghum,Cereals,Devgen NV,Private,22-May-2007,E7 SB15 07 61,19 September 2012,24 August 2020,22-May-2007  to 19-Sep-2012
468,137 of 2012,471,New,VBCH-1501 BGII,Tetraploid Cotton,Fibre Crops,Nusun Genetic Research Ltd.,Private,23-Sep-2008,N131 GH140 08 460,19 September 2012,18 September 2027,23-Sep-2008  to 19-Sep-2012
469,138 of 2012,472,Extant (VCK),KMH-25K60,Maize,Cereals,M/S Kaveri Seed Company Limited,Private,24-Aug-2009,E21 ZM38 09 344,24 September 2012,23 September 2027,24-Aug-2009  to 24-Sep-2012
470,139 of 2012,473,Extant (VCK),KMH-Super 244,Maize,Cereals,M/S Kaveri Seed Company Limited,Private,24-Aug-2009,E23 ZM40 09 346,24 September 2012,23 September 2027,24-Aug-2009  to 24-Sep-2012
471,140 of 2012,474,Extant (VCK),KMH-280,Maize,Cereals,M/S Kaveri Seed Company Limited,Private,24-Aug-2009,E24 ZM41 09 347,24 September 2012,23 September 2027,24-Aug-2009  to 24-Sep-2012
472,141 of 2012,475,Extant,Narendra Wheat-1067,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E3 TA8 11 301,24 September 2012,24 August 2020,10-Jun-2011  to 24-Sep-2012
473,142 of 2012,476,Extant,Pusa RH-10,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Nov-2009,E34 OS72 09 486,24 September 2012,14 November 2016,03-Nov-2009  to 24-Sep-2012
474,143 of 2012,477,Extant (VCK),KMH-218,Maize,Cereals,M/S Kaveri Seed Company Limited,Private,28-Jan-2009,E32 M5 09 17,03 October 2012,02 October 2027,28-Jan-2009  to 03-Oct-2012
475,144 of 2012,478,Extant (VCK),KMH-2288 (Ekka),Maize,Cereals,M/S Kaveri Seed Company Limited,Private,5-Feb-2009,E52 M8 09 31,03 October 2012,02 October 2027,05-Feb-2009  to 03-Oct-2012
476,145 of 2012,479,Extant (VCK),SYN-CO-6240,Maize,Cereals,Syngenta India Limited,Private,29-May-2007,E6 ZM22 07 88,03 October 2012,02 October 2027,29-May-2007  to 03-Oct-2012
477,146 of 2012,480,Extant (VCK),SYN-CO-5440,Maize,Cereals,Syngenta India Limited,Private,31-Oct-2007,E13 ZM32 07 142,03 October 2012,02 October 2027,31-Oct-2007  to 03-Oct-2012
478,147 of 2012,481,Extant (VCK),ELITE,Maize,Cereals,Vibha Agrotech Limited,Private,17-Mar-2008,E177 ZM17 08 204,03 October 2012,02 October 2027,17-Mar-2008  to 03-Oct-2012
479,148 of 2012,482,New,VBCH 1505,Tetraploid Cotton,Fibre Crops,Vibha Agrotech Limited,Private,23-Sep-2008,N129 GH138 08 458,03 October 2012,02 October 2027,23-Sep-2008  to 03-Oct-2012
480,149 of 2012,483,New,VBCH 1503,Tetraploid Cotton,Fibre Crops,Nusun Genetic Research Ltd.,Private,23-Sep-2008,N125 GH134 08 454,03 October 2012,02 October 2027,23-Sep-2008  to 03-Oct-2012
481,150 of 2012,484,New,MRC 7160,Tetraploid Cotton,Fibre Crops,Maharashtra Hybrid Seeds Company Limited,Private,2-Apr-2008,N31 GH6 08 231,03 October 2012,02 October 2027,02-Apr-2008  to 03-Oct-2012
482,151 of 2012,485,New,RCH 533 BGII,Tetraploid Cotton,Fibre Crops,Rasi Seeds Private Limited,Private,2-Apr-2008,N74 GH56 08 287,03 October 2012,02 October 2027,02-Apr-2008  to 03-Oct-2012
483,152 of 2012,486,Extant (VCK),BCN 401,Maize,Cereals,Bayer Biosciences Pvt. Ltd.,Private,26-Oct-2009,E28 ZM51 09 431,03 October 2012,02 October 2027,26-Oct-2009  to 03-Oct-2012
484,153 of 2012,487,Farmer,Wheat Ravi No.1,Wheat,Cereals,"Shri Kuldeep Singh Sandhu, S/O of Sh. Faujdar Singh, Sandhu Village and P.O. Banur Distt. Patiala, Punjab",Farmer,9-Jun-2009,F2 TA5 09 284,03 October 2012,02 October 2027,09-Jun-2009  to 03-Oct-2012
485,154 of 2012,488,Extant,DRSF-113,Sunflower,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,16-Nov-2011,E12 HA14 11 1297,16 October 2012,04 October 2022,16-Nov-2011  to 16-Oct-2012
486,155 of 2012,489,Extant,Indira Sona,Rice,Cereals,"Indira Gandhi Krishi Vishwavidyalaya Raipur (C.G.) Krishak Nagar, Labhandi, Raipur",Public,21-Oct-2011,E6 OS951 11 1281,16 October 2012,19 July 2022,21-Oct-2011  to 16-Oct-2012
487,156 of 2012,490,Extant,Ahilya-4 (NRC-37),Soybean,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,24-Jan-2012,E1 GM1 12 07,16 October 2012,01 February 2016,24-Jan-2012  to 16-Oct-2012
488,157 of 2012,491,Extant,DRSH-1 (PCSH-243),Sunflower,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,16-Nov-2011,E11 HA13 11 1296,16 October 2012,24 April 2020,16-Nov-2011  to 16-Oct-2012
489,158 of 2012,492,Extant,Pusa Sharad (Sel-309-1-2),Cauliflower,Vegetables,Indian Council of Agricultural Research (ICAR),Public,13-Jun-2011,E6 BB7 11 309,16 October 2012,30 May 2019,13-Jun-2011  to 16-Oct-2012
490,159 of 2012,493,Extant,Jaldbi (IET-17153),Rice,Cereals,"Indira Gandhi Krishi Vishwavidyalaya Raipur (C.G.) Krishak Nagar, Labhandi, Raipur",Public,21-Oct-2011,E10 OS955 11 1285,16 October 2012,19 July 2022,21-Oct-2011  to 16-Oct-2012
491,160 of 2012,494,Extant,Samleshwari (IET-17455),Rice,Cereals,"Indira Gandhi Krishi Vishwavidyalaya Raipur (C.G.) Krishak Nagar, Labhandi, Raipur",Public,21-Oct-2011,E7 OS952 11 1282,16 October 2012,19 July 2022,21-Oct-2011  to 16-Oct-2012
492,161 of 2012,495,Extant,Chandrahasini (IET-16800),Rice,Cereals,"Indira Gandhi Krishi Vishwavidyalaya Raipur (C.G.) Krishak Nagar, Labhandi, Raipur",Public,21-Oct-2011,E9 OS954 11 1284,16 October 2012,19 July 2022,21-Oct-2011  to 16-Oct-2012
493,162 of 2012,496,Extant,Dhanush (Co 91010),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E1 SA1 12 25,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
494,163 of 2012,497,Extant,Kalyani (Co 87025),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E7 SA7 12 31,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
495,164 of 2012,498,Extant,Nayana (Co 86032),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E3 SA3 12 27,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
496,165 of 2012,499,Extant,Bhima (Co 8371),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E4 SA4 12 28,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
497,166 of 2012,500,Extant,Moti (Co 87268),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E8 SA8 12 32,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
498,167 of 2012,501,Extant,Bhavani (Co 86249),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E6 SA6 12 30,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
499,168 of 2012,502,Extant,Uttara (Co 87044),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E2 SA2 12 26,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
500,169 of 2012,503,Extant,Sarayu (Co 87263),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E9 SA9 12 33,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
501,170 of 2012,504,Extant,Prabha (Co 85004),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E10 SA10 12 34,16 October 2012,12 September 2015,10-Feb-2012  to 16-Oct-2012
502,171 of 2012,505,Extant,Gandak (Co 89029),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E11 SA11 12 35,16 October 2012,14 November 2016,10-Feb-2012  to 16-Oct-2012
503,172 of 2012,506,Extant,Shyama (Co 94008),Sugarcane,Sugar Crops,Indian Council of Agricultural Research (ICAR),Public,10-Feb-2012,E5 SA5 12 29,16 October 2012,03 February 2019,10-Feb-2012  to 16-Oct-2012
504,173 of 2012,507,Extant,WRP-1,Pigeon pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,1-Nov-2011,E1 CC1 11 1287,16 October 2012,10 February 2024,01-Nov-2011  to 16-Oct-2012
505,174 of 2012,508,Extant,Malvia Vikalp (MA-3),Pigeon pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,1-Nov-2011,E2 CC2 11 1288,16 October 2012,25 October 2014,01-Nov-2011  to 16-Oct-2012
506,175 of 2012,509,Extant,AKS-207,Safflower,Oilseeds,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,10-Feb-2012,E1 CT1 12 22,16 October 2012,04 October 2022,10-Feb-2012  to 16-Oct-2012
507,176 of 2012,510,Extant,TAS-82,Sunflower,Oilseeds,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,10-Feb-2012,E1 HA1 12 21,16 October 2012,04 October 2022,10-Feb-2012  to 16-Oct-2012
508,177 of 2012,511,Extant,Proagro 9443 (MH-846),Pearl millet,Cereals,Bayer Biosciences Pvt. Ltd.,Private,19-Sep-2011,E1 PG1 11 931,16 October 2012,01 February 2016,19-Sep-2011  to 16-Oct-2012
509,178 of 2012,512,Extant,Karma Mahsuri (IET-19991),Rice,Cereals,"Indira Gandhi Krishi Vishwavidyalaya Raipur (C.G.) Krishak Nagar, Labhandi, Raipur",Public,21-Oct-2011,E8 OS953 11 1283,16 October 2012,15 October 2023,21-Oct-2011  to 16-Oct-2012
510,180 of 2012,514,Extant (VCK),BCN 404,Maize,Cereals,Bayer Biosciences Pvt. Ltd.,Private,27-Oct-2009,E31 ZM54 09 438,05 November 2012,04 November 2027,27-Oct-2009  to 05-Nov-2012
511,181 of 2012,515,Extant (VCK),BCN 403,Maize,Cereals,Bayer Biosciences Pvt. Ltd.,Private,26-Oct-2009,E30 ZM53 09 435,05 November 2012,04 November 2027,26-Oct-2009  to 05-Nov-2012
512,182 of 2012,516,Extant,Surbhi (HPW 89),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,14-Oct-2008,E337 TA38 08 473,09 November 2012,14 May 2013,14-Oct-2008  to 09-Nov-2012
513,183 of 2012,517,Extant,PBW-396,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E4 TA9 11 302,09 November 2012,02 April 2015,10-Jun-2011  to 09-Nov-2012
514,184 of 2012,518,Extant,Swarna (HI-1479),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E7 TA12 11 305,09 November 2012,11 March 2018,10-Jun-2011  to 09-Nov-2012
515,185 of 2012,519,Extant,HI-1454,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E8 TA 13 11 306,09 November 2012,02 April 2015,10-Jun-2011  to 09-Nov-2012
516,186 of 2012,520,Extant,Singchen (SWL-8),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jun-2011,E9 TA14 11 307,09 November 2012,24 August 2020,10-Jun-2011  to 09-Nov-2012
517,187 of 2012,521,Extant,MP (JW) 1202 (MP-1202),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,18-Oct-2011,E13 TA19 11 1275,09 November 2012,28 January 2025,18-Oct-2011  to 09-Nov-2012
518,188 of 2012,522,Extant,CBW-38,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,18-Oct-2011,E11 TA17 11 1273,09 November 2012,10 February 2024,18-Oct-2011  to 09-Nov-2012
519,189 of 2012,523,Extant,VL Gehun 907,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,18-Oct-2011,E14 TA20 11 1276,09 November 2012,31 March 2025,18-Oct-2011  to 09-Nov-2012
520,190 of 2012,524,Extant,VL Gehun 892,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,18-Oct-2011,E15 TA21 11 1277,09 November 2012,07 May 2023,18-Oct-2011  to 09-Nov-2012
521,191 of 2012,525,Extant,HPW-251,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,18-Oct-2011,E16 TA22 11 1278,09 November 2012,07 May 2023,18-Oct-2011  to 09-Nov-2012
522,192 of 2012,526,Extant,MACS 6222,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,18-Oct-2011,E17 TA23 11 1279,09 November 2012,31 March 2025,18-Oct-2011  to 09-Nov-2012
523,193 of 2012,527,Extant,Pusa Kabuli Gram-128 (Pusa shubra) (BGD-128),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E17 CA8 07 189,09 November 2012,19 September 2021,05-Nov-2007  to 09-Nov-2012
524,194 of 2012,528,Extant,Dharwad Pragatee BGD-72,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E6 CA11 07 322,09 November 2012,07 June 2014,15-Nov-2007  to 09-Nov-2012
525,195 of 2012,529,Extant,Pusa 605 (MH 564),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E129 PG4 08 142,09 November 2012,07 June 2014,17-Jan-2008  to 09-Nov-2012
526,196 of 2012,530,Extant,Pusa Composite-334 (MP-334),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E127 PG2 08 140,09 November 2012,25 October 2014,17-Jan-2008  to 09-Nov-2012
527,197 of 2012,531,Extant,Pusa-415,Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E46 PG55 07 229,09 November 2012,25 October 2014,06-Nov-2007  to 09-Nov-2012
528,198 of 2012,532,Extant,DWR-17,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E14 TA17 07 259,09 November 2012,05 February 2022,07-Nov-2007  to 09-Nov-2012
529,199 of 2012,533,Extant,Pusa-1103,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E131 CA2 08 144,09 November 2012,04 November 2020,17-Jan-2008  to 09-Nov-2012
530,200 of 2012,534,Extant,Pusa-1108,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E132 CA3 08 145,09 November 2012,19 September 2021,17-Jan-2008  to 09-Nov-2012
531,201 of 2012,535,Extant,Karnal chana-1 (CSG-8962),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E135 CA6 08 148,09 November 2012,14 May 2013,17-Jan-2008  to 09-Nov-2012
532,202 of 2012,536,Extant,Pusa-1088,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E137 CA8 08 150,09 November 2012,04 November 2020,17-Jan-2008  to 09-Nov-2012
533,203 of 2012,537,Extant,Gujarat Gram-1 (G.G.1),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,3-Jun-2008,E266 CA23 08 374,09 November 2012,07 June 2014,03-Jun-2008  to 09-Nov-2012
534,204 of 2012,538,Extant (VCK),SYN-CO-SWC 75,Maize,Cereals,Syngenta India Limited,Private,15-Jan-2008,E125 ZM13 08 137,21 November 2012,20 November 2027,15-Jan-2008  to 21-Nov-2012
